zip_code,ev_registrations,population,city,med_income,avg_daily_flow,station_count,level2_ports,dcfast_ports,total_ports,demand_gap
98177,1887,21090,SEATTLE,169918.0,2408.5,1,1,0,1,1887.0
98126,1363,22975,SEATTLE,116466.0,3480.3888888888887,1,1,0,1,1363.0
98178,1137,26748,SEATTLE,99505.0,2173.214285714286,1,1,0,1,1137.0
98146,1074,28573,SEATTLE,102520.0,3019.75,1,1,0,1,1074.0
98115,4402,54349,SEATTLE,156142.0,7656.291139240507,5,7,0,7,628.86
98199,1958,22468,SEATTLE,180789.0,3510.8,2,5,0,5,391.6
98112,2257,23921,SEATTLE,171572.0,3218.315789473684,6,6,0,6,376.17
98136,1254,17252,SEATTLE,149269.0,1732.4444444444443,3,4,0,4,313.5
98117,3018,35711,SEATTLE,182984.0,1690.1707317073171,4,9,4,13,232.15
98116,1866,28711,SEATTLE,126151.0,10798.68115942029,9,8,2,10,186.6
98118,2533,50500,SEATTLE,113762.0,3773.6666666666665,8,14,6,20,126.65
98106,1331,28690,SEATTLE,124212.0,14004.528301886792,11,13,4,17,78.29
98144,1985,33787,SEATTLE,96969.0,4992.089552238806,11,25,2,27,73.52
98103,3481,52671,SEATTLE,131154.0,6188.482352941176,24,61,1,62,56.15
98125,2517,44520,SEATTLE,99868.0,2171.75,16,18,32,50,50.34
98133,2452,53249,SEATTLE,93662.0,1722.7553191489362,16,17,32,49,50.04
98107,1709,28776,SEATTLE,142662.0,7571.147540983607,10,13,25,38,44.97
98122,2109,43234,SEATTLE,106886.0,4335.25,18,40,9,49,43.04
98108,1067,25529,SEATTLE,95780.0,2764.732673267327,12,20,5,25,42.68
98102,1269,27333,SEATTLE,114925.0,2532.56,19,37,0,37,34.3
98105,2173,49767,SEATTLE,74349.0,3787.0833333333335,24,64,4,68,31.96
98119,1513,26879,SEATTLE,123551.0,4774.315789473684,32,74,9,83,18.23
98134,593,645,SEATTLE,68214.0,14014.055555555555,26,74,10,84,7.06
98109,2183,34328,SEATTLE,133663.0,7901.0,156,365,2,367,5.95
98104,460,16542,SEATTLE,61460.0,3936.4545454545455,36,110,0,110,4.18
98101,922,17153,SEATTLE,128882.0,2543.3846153846152,66,211,18,229,4.03
98121,1322,21166,SEATTLE,152019.0,5584.0,178,353,6,359,3.68
98164,14,292,SEATTLE,,5136.35,13,22,0,22,0.64
98195,1,2757,SEATTLE,,6729.489361702128,5,12,0,12,0.08
